Species,n.gps,abs_max_lat,abs_min_lat,length_lat,median_lon,median_lat,area,bio1m,bio1sd,bio2m,bio2sd,bio3m,bio3sd,bio4m,bio4sd,bio5m,bio5sd,bio6m,bio6sd,bio7m,bio7sd,bio8m,bio8sd,bio9m,bio9sd,bio10m,bio10sd,bio11m,bio11sd,bio12m,bio12sd,bio13m,bio13sd,bio14m,bio14sd,bio15m,bio15sd,bio16m,bio16sd,bio17m,bio17sd,bio18m,bio18sd,bio19m,bio19sd,elevm,elevsd,continents,dist,Red.List.status
Abies bracteata,93,49.25,35.626,13.624,-121.5213,36.193889,1.15E+12,110.7311828,14.05589756,141.1612903,13.12091785,56.92473118,4.561742037,3836.741935,733.9659674,252.1827957,17.94129693,5.010752688,17.80601671,247.172043,27.34188682,71.34408602,20.18420316,156.5268817,20.77602684,163.7204301,12.71969168,68.74193548,17.73776567,763.1290323,171.1135033,143.1505376,28.79158476,2.35483871,4.348025942,86.23655914,6.035038722,394.9677419,81.44742925,10.53763441,15.97726587,18.83870968,19.51214244,373.2688172,77.04983421,96.66666667,64.1191712,North America,endemic,NT
Acorus calamus,341,64.88,30.74278,34.13722,-80.023384,43.645833,1.26E+13,76.89349112,40.76967824,114.5532544,13.71991355,28.88461538,4.555786746,9735.5,1569.668572,273.239645,31.65727019,-121.3964497,63.6384184,394.6360947,49.042168,135.8579882,81.79436443,-4.059171598,94.38300054,197.4053254,31.38094975,-53.63905325,58.9233764,948.6804734,248.0804616,108.0029586,23.48577428,52.60059172,25.36025769,25.46745562,17.56836093,302.8372781,64.94901105,173.9319527,77.94731986,268.612426,54.63616447,199.9467456,100.9268184,144.170088,62.84079171,"Africa,Asia,Australia,North America,NA",global,LC
Acrostichum aureum,69,38.614167,15.210833,23.403334,-94.11555,18.5,1.87E+12,255.5441176,18.73016071,102.1323529,14.62762099,62.22058824,8.120079384,2074.308824,1037.716857,336.5882353,11.29289209,171.9411765,33.2188053,164.6470588,30.54224611,269.8676471,10.45374233,246.4264706,35.80432567,277.3235294,9.10706004,225.7794118,31.86391099,1853.852941,791.7225555,345.6470588,136.803243,31.01470588,17.34160096,71.42647059,19.72521394,901.4852941,376.9138028,117.0588235,64.47859354,507.8382353,212.3481097,237.1617647,157.3929023,152.0724638,85.29021716,"Africa,Europe,NA,Asia,Australia,South America and the Caribbean,North America",global,LC
Acrostichum danaeifolium,171,38.8881,15.205556,23.682544,-92.456361,18.607944,1.52E+12,255.1411765,17.69174109,106.4647059,14.25471753,62.83529412,6.816872661,2143.064706,891.2164424,337.1117647,12.15551996,167.2294118,32.05838359,169.8823529,28.82713702,270.0941176,10.37934171,246.9941176,34.12117236,277.4352941,10.33743935,224.5235294,28.08170727,1492.735294,509.5981308,269.8764706,89.05946441,31.3,16.20572256,66.32352941,18.8894645,696.9705882,229.7366753,115.1705882,57.42172717,393.9823529,129.3692241,203.7823529,115.4941262,126.9298246,46.64352662,"South America and the Caribbean,North America,NA,Europe",global,LC
Aeschynomene indica,46,38.913611,16.241038,22.672573,-91.9106805,28.988929,2.30E+12,207.1956522,43.11360681,121.1956522,16.76321312,49.93478261,14.18669513,4828.73913,2731.673117,330.9347826,14.6960345,71.7826087,79.79331998,259.1521739,76.12007105,235.4565217,56.14691305,195.3695652,57.04203467,265.0434783,20.42869063,141.5652174,77.42513292,1322.282609,269.4008713,219.9565217,94.52711698,45.43478261,31.93789263,54.80434783,40.31411088,578.0434783,223.6294511,163.3478261,111.4032151,423.0217391,200.9390719,215.3043478,137.4051381,146.8913043,58.07513458,"Africa,NA,Asia,Australia,South America and the Caribbean,North America",global,LC
Agrostis aequivalvis,55,65,37,28,-133.35,55.53,9.72E+11,44.39622642,38.36832609,77.90566038,22.77166268,32.49056604,4.379245815,5680.245283,1914.160831,173.7735849,43.8654593,-64.67924528,61.13722698,238.4528302,70.12038166,27.32075472,41.25752779,80.20754717,63.61765554,119.1509434,33.3468925,-23.94339623,54.28181984,1876.924528,795.3014148,274.2830189,119.3255691,72.45283019,37.76117564,42.05660377,11.50320205,739.1509434,318.4964313,251.6226415,124.5231252,329.4528302,176.3013772,575.7358491,282.9297379,125,101.130279,"North America,NA",global,LC
Agrostis perennans,622,54,15.419722,38.580278,-79.3916665,39.014425,1.13E+13,110.3913043,40.48113685,120.0032206,17.89251031,38.71175523,15.00717055,7366.697262,3021.333447,276.3993559,37.92490372,-55.95169082,68.14946277,332.3510467,76.70045918,140.4847021,75.256498,51.41062802,89.34339597,202.1481481,37.53760202,11.9468599,70.65047139,1141.47343,259.9339271,144.52657,67.95117806,58.31239936,27.6203348,30.73429952,29.63844385,396.7648953,169.0534353,192.5603865,86.56370939,304.3929147,73.57620724,216.9549114,101.5635884,152.3553055,72.88996933,"Asia,South America and the Caribbean,North America,NA",global,LC
Alisma triviale,531,64.88,32.05,32.83,-99.6221,43.54567,9.80E+12,81.52354049,44.62088638,127.7532957,21.30827998,33.65725047,9.623440289,9183.003766,2777.004662,282.9359699,32.51373652,-108.8719397,87.33882506,391.8079096,79.76953131,124.7608286,72.96482256,22.96233522,131.194521,196.5423729,26.81269048,-39.74011299,80.63280544,731.5310734,334.6599464,104.6195857,44.03890125,27.30696798,28.15385507,47.8700565,25.78115569,286.6741996,122.6372672,95.08474576,88.60087723,180.2467043,101.0717164,191.3032015,163.2102139,138.0583804,65.52178365,"Africa,North America,South America and the Caribbean",global,LC
Alnus oblongifolia,38,36.982496,19.598333,17.384163,-108.4131265,28.437917,8.87E+11,153.4736842,31.26239157,170.1052632,14.58208726,53.34210526,6.03268716,5338.736842,1388.202253,315.0526316,31.65519245,-4.078947368,36.92972258,319.1315789,38.42378982,209.5789474,41.50912083,160.4473684,32.43929663,220.5263158,31.32026099,85.73684211,38.55545968,701.4736842,261.5493067,173.7894737,78.81458155,8.447368421,3.42248028,86.89473684,23.17826274,422.2894737,195.0535488,39.02631579,13.09525774,368.8947368,187.0312576,112.6578947,45.16233561,122.0526316,48.32432512,"South America and the Caribbean,North America",global,LC
Alopecurus aequalis,997,67.38304758,20.05,47.33304758,-117.6375,42.498611,1.71E+13,51.32597793,48.02606656,133.6419258,27.23000293,36.43029087,9.871687092,8439.71013,2795.54027,251.8014042,41.98272113,-123.8585757,85.39286166,375.6599799,73.82955333,70.32698094,78.0192503,47.76730191,118.4440712,158.9237713,33.43398769,-55.95486459,80.9435011,679.5055165,362.4821159,104.0802407,60.62667694,20.25777332,19.64628868,49.60581745,21.27681597,284.8816449,166.0390856,75.01805416,61.72917982,135.4794383,94.70352612,220.777332,182.780627,135.8355065,61.09986742,"Africa,Europe,Asia,NA,Australia,South America and the Caribbean,North America",global,LC
