Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,group,complex,dispStage,selfOut,dispersion,trophicLevel,maxSize
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.791111,45.208611,48,6761,250,-98,348,608,41,70,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.658333,45.453333,84,6943,289,-57,346,516,39,57,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.658333,45.453333,84,6943,289,-57,346,516,39,57,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.658333,45.453333,84,6943,289,-57,346,516,39,57,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-118.658333,45.453333,84,6943,289,-57,346,516,39,57,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
Chonaphe armataE,-117.893611,48.050278,75,8215,286,-78,364,476,37,67,Invertebrate,NC,Conaphe.armataEW,adult,outcrosser,self,detritivore,3
