Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,dispStage,selfOut,dispersion,trophicLevel,maxSize
Alnus rubra,-123.1007,44.1115,116,5138,276,15,261,1211,67,74,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.3853,42.7016,103,3157,208,22,186,1927,70,84,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.7019281,39.3180985,116,2873,223,29,194,1068,81,20,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1071,42.6923,85,4023,220,65531,225,1718,72,70,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2387052,37.87629047,141,3690,252,47,205,715,87,9,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2386752,37.87624047,141,3690,252,47,205,715,87,9,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9285536,38.09155011,129,2785,232,41,191,963,89,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1543,41.1024,109,2704,199,31,168,1475,74,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.00605,47.0486,103,4945,250,3,247,1441,63,101,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.4167,45.5003,115,5269,267,10,257,1307,54,114,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0228,44.2925,102,3527,211,20,191,2272,67,125,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8094,42.6486,112,5985,306,65527,315,747,61,51,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8556221,38.10093051,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8569,38.0998,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9597,45.7002,95,5032,245,65531,250,1645,63,115,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9229,45.6992,93,4970,242,65529,249,1735,63,122,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9802,45.6861,95,5032,245,65531,250,1645,63,115,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-134.4,58.3,25,6191,160,65437,259,1613,32,267,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.4648387,40.40378077,96,5355,280,65514,302,1411,80,37,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9623,45.6589,107,5258,261,1,260,1207,63,88,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1458645,41.06176379,112,2566,197,37,160,1382,73,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1519,41.0855,109,2704,199,31,168,1475,74,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.14833,41.06194,112,2566,197,37,160,1382,73,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1508,41.0848,109,2704,199,31,168,1475,74,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1416244,41.05922387,112,2566,197,37,160,1382,73,45,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.593,43.9653,98,5288,265,65525,276,1573,59,112,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8662,43.971,110,5015,267,6,261,1313,58,97,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.63528,47.90889,97,3549,197,19,178,2684,53,216,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.1157,44.1372,117,5169,277,15,262,1203,67,74,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.3028,44.7547,80,5162,231,65518,249,2300,62,150,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.5025,44.4669,85,4632,231,65525,242,2193,68,122,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.2,49.26667,99,5230,224,0,224,1240,52,127,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-117.53417,47.74333,89,7962,295,65478,353,443,39,59,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.1142,44.0759,116,5118,276,14,262,1207,66,75,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8741,38.117,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8735827,38.11710002,131,3034,240,39,201,952,90,12,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2442,37.8726,141,3393,244,50,194,678,87,8,Plant,embryo,outcrosser,wind,primary,25000
